sep=,
,AFM,Madstore,AppleLand,iMobile,Минимальная цена,Кто
"iPhone 7 Plus 32Gb Золотой",59900,,59900,59900,59900,iMobile
"iPhone 7 Plus 32Gb Розовое золото",59900,,59900,59900,59900,iMobile
"iPhone 7 Plus 32Gb Серебристый",59900,,59900,59900,59900,iMobile
"iPhone 7 Plus 32Gb Чёрный",59900,,59900,59900,59900,iMobile
"iPhone SE 16Gb Gold",30900,,30900,30900,30900,iMobile
"iPhone SE 16Gb Rose Gold",30900,,30900,30900,30900,iMobile
"iPhone SE 16Gb Silver",30900,,30900,30900,30900,iMobile
"iPhone SE 16Gb Space Gray",30900,,30900,30900,30900,iMobile
"iPhone SE 64Gb Gold",35900,,35900,35900,35900,iMobile
"iPhone SE 64Gb Rose Gold",35900,,35900,35900,35900,iMobile
"iPhone SE 64Gb Silver",35900,,35900,35900,35900,iMobile
"iPhone SE 64Gb Space Gray",35900,,35900,35900,35900,iMobile
